Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2021-09-20,936,567,2,0,1,0,2,7
2021-09-21,1023,603,1,0,0,0,0,16
2021-09-22,1035,628,1,1,0,0,2,17
2021-09-23,1064,766,2,1,0,0,0,16
2021-09-24,1044,733,0,0,1,0,0,19
2021-09-25,1007,847,1,0,0,0,0,32
2021-09-26,964,788,0,1,0,0,0,25
2021-09-27,788,845,0,0,1,0,1,19
2021-09-28,866,867,6,0,0,0,1,13
2021-09-29,866,950,1,0,0,0,0,22
2021-09-30,943,1438,6,1,0,0,1,31
2021-10-01,866,1143,3,1,0,0,1,52
2021-10-02,814,1488,4,2,0,0,0,52
2021-10-03,668,1220,1,1,3,0,0,38
2021-10-04,623,1377,3,1,10,1,0,28
2021-10-05,608,1763,2,1,1,0,0,33
2021-10-06,594,1420,3,0,0,0,0,28
2021-10-07,587,1638,6,0,0,0,0,41
2021-10-08,648,1838,0,2,0,0,1,40
2021-10-09,581,1965,3,1,0,0,1,25
2021-10-10,479,1890,2,1,0,0,0,30
2021-10-11,498,1612,1,3,0,0,1,32
2021-10-12,360,1466,4,0,1,0,1,28
2021-10-13,446,1572,0,1,0,1,6,51
2021-10-14,407,2297,0,0,0,0,0,46
2021-10-15,400,2179,1,0,0,0,0,35
2021-10-16,321,1993,3,1,1,0,2,20
2021-10-17,301,1838,0,0,0,0,1,33
2021-10-18,266,1903,0,0,0,0,0,17
2021-10-19,273,1749,0,1,0,0,0,24
2021-10-20,283,1842,1,0,0,0,0,24
2021-10-21,374,2235,5,1,0,0,0,28
2021-10-22,345,2189,5,0,0,0,0,13
2021-10-23,333,1750,0,0,0,0,0,24
2021-10-24,296,1935,0,1,0,0,0,9
2021-10-25,294,1461,0,0,0,0,0,9
2021-10-26,284,1510,2,0,0,0,0,12
2021-10-27,305,1534,1,0,0,0,0,10
2021-10-28,293,1923,1,0,0,0,0,8
2021-10-29,269,1656,0,0,0,0,0,10
2021-10-30,237,1355,0,0,0,0,0,9
2021-10-31,178,1036,0,0,0,0,0,7
2021-11-01,136,1471,1,0,0,0,0,5
2021-11-02,173,989,0,0,0,0,0,8
2021-11-03,191,941,0,0,0,0,0,15
2021-11-04,309,1247,3,0,0,0,1,13
2021-11-05,249,1343,2,0,0,0,2,6
2021-11-06,271,1268,1,0,0,0,1,18
2021-11-07,244,1173,3,0,0,0,0,13
2021-11-08,187,1126,0,0,0,0,0,13
2021-11-09,224,1069,1,0,0,0,1,18
2021-11-10,217,1003,3,0,0,0,1,9
2021-11-11,264,1313,3,0,0,0,0,9
2021-11-12,287,1115,4,1,0,0,0,15
2021-11-13,256,1221,0,1,0,0,0,11
2021-11-14,196,905,0,0,0,0,1,15
2021-11-15,165,860,2,0,1,1,2,10
2021-11-16,212,797,0,1,3,0,9,12
2021-11-17,231,996,1,0,0,0,6,6
2021-11-18,262,1007,0,0,1,0,1,25
2021-11-19,216,1273,1,1,1,0,2,17
2021-11-20,182,1166,0,0,1,0,1,14
2021-11-21,176,1275,0,0,1,0,9,16
2021-11-22,180,1029,0,0,1,1,3,11
2021-11-23,173,827,1,0,0,0,3,19
2021-11-24,248,1196,1,1,0,0,11,15
2021-11-25,276,1254,3,3,1,0,1,8
2021-11-26,261,1372,0,2,0,0,0,8
2021-11-27,235,1252,1,3,0,0,2,7
2021-11-28,185,1061,3,0,0,0,4,7
2021-11-29,150,1007,5,1,0,0,2,7
2021-11-30,179,918,2,0,0,0,0,6
2021-12-01,251,1179,2,3,0,1,3,4
2021-12-02,271,1419,3,18,0,0,1,8
2021-12-03,337,1188,6,4,1,0,2,4
2021-12-04,325,1365,7,5,0,0,0,7
2021-12-05,286,980,6,6,0,0,0,6
2021-12-06,208,1073,3,4,0,0,3,6
2021-12-07,260,1185,1,4,0,0,0,3
2021-12-08,403,1312,2,3,0,0,2,8
2021-12-09,420,1232,0,7,1,0,3,4
2021-12-10,516,1206,9,8,0,0,4,6
2021-12-11,560,1193,1,7,0,0,1,11
2021-12-12,485,1069,1,10,0,0,3,1
2021-12-13,536,1290,10,13,1,0,17,3
2021-12-14,804,1189,4,12,1,0,2,4
2021-12-15,1360,1405,6,25,0,0,11,7
2021-12-16,1742,1622,22,24,0,1,1,11
2021-12-17,2213,1510,20,64,0,2,8,20
2021-12-18,2482,1504,31,73,0,1,1,18
2021-12-19,2566,1240,42,80,0,3,9,18
2021-12-20,2501,1302,59,105,0,3,3,13
2021-12-21,3057,1245,86,154,1,4,14,16
2021-12-22,3763,1503,186,198,4,12,5,58
2021-12-23,5715,2005,369,484,1,26,10,85
2021-12-24,5612,2095,589,688,2,27,10,102
2021-12-25,6288,2108,765,634,7,33,19,142
2021-12-26,6394,1608,714,774,2,56,12,71
2021-12-27,6324,1999,784,842,1,39,12,189
2021-12-28,6062,2738,1158,995,3,44,16,252
2021-12-29,11201,3767,1539,1471,2,58,19,138
2021-12-30,12226,5137,2222,1374,1,103,37,253
2021-12-31,21151,5919,3118,2093,5,137,60,462
2022-01-01,22577,7442,2266,2100,3,439,50,448
2022-01-02,18278,7172,3587,2298,7,404,95,506
2022-01-03,20794,8577,4249,2552,8,472,58,514
2022-01-04,23131,14020,5699,3246,14,705,75,926
2022-01-05,35054,17636,6781,3493,16,867,117,810
2022-01-06,34994,21997,10332,3070,9,751,256,992
2022-01-07,38625,21728,10953,3707,6,1489,412,1246
2022-01-08,45098,51356,11174,4274,8,2223,594,1305
2022-01-09,30062,44155,18000,4506,2,1406,481,1039
2022-01-10,20293,34808,9581,4024,3,1218,404,938
2022-01-11,25870,37994,20566,2921,15,1379,594,1508
2022-01-12,34759,40127,22069,3715,6,1583,352,1078
2022-01-13,92264,37169,14914,3669,16,1100,550,1020
2022-01-14,63018,34836,23630,5679,9,1201,546,2303
2022-01-15,48768,25526,19709,4349,9,1139,412,1320
2022-01-16,34660,28128,17445,3450,3,825,327,1316
2022-01-17,29504,22429,15122,3829,12,1037,284,1601
2022-01-18,29830,20180,15962,3079,14,1310,625,1860
2022-01-19,32297,20769,19932,3482,5,1185,418,1467
2022-01-20,30826,21966,16812,3777,10,927,459,892
2022-01-21,25168,18167,16031,3023,10,866,432,826
2022-01-22,20148,16016,15050,2193,11,726,314,666
2022-01-23,20324,13091,11947,2062,26,625,212,694
2022-01-24,15091,11695,10212,2009,15,619,286,756
2022-01-25,18512,14836,9546,1869,18,643,517,904
2022-01-26,21030,13507,13551,2401,24,712,492,896
2022-01-27,17316,13755,11600,1953,12,726,747,884
2022-01-28,13333,12755,9974,1846,9,584,940,734
2022-01-29,13354,12250,10391,1740,23,683,828,620
2022-01-30,13524,10589,8580,1633,20,594,849,584
2022-01-31,13026,10053,7462,1505,12,504,760,537
2022-02-01,12818,11311,7588,1266,24,699,970,522
2022-02-02,11807,14553,9630,1723,29,666,1133,549
2022-02-03,12632,12157,8648,1583,29,656,977,529
2022-02-04,10698,11240,6857,1363,32,570,1004,449
2022-02-05,8389,7810,8508,1289,26,483,968,372
2022-02-06,7893,7169,,,,471,,
